         2037790 function calls (2019726 primitive calls) in 2.383 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1673(ZipProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1689(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:169(c_ushort)
        2    0.001    0.000    0.558    0.279 __init__.py:17(<module>)
        1    0.000    0.000    0.007    0.007 __init__.py:170(fetch_command)
       17    0.000    0.000    0.000    0.000 __init__.py:170(make_simple_escaping_wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:1703(EmailField)
        3    0.000    0.000    0.000    0.000 __init__.py:1705(createLock)
       13    0.000    0.000    0.001    0.000 __init__.py:1707(__init__)
        3    0.000    0.000    0.001    0.000 __init__.py:1712(_showwarning)
        1    0.000    0.000    0.000    0.000 __init__.py:1718(formfield)
        1    0.000    0.000    0.000    0.000 __init__.py:1728(FilePathField)
        1    0.000    0.000    0.000    0.000 __init__.py:173(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1730(captureWarnings)
      152    0.000    0.000    0.000    0.000 __init__.py:177(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:177(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1793(FloatField)
        1    0.000    0.000    0.000    0.000 __init__.py:18(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:18(GenericViewError)
        1    0.000    0.000    0.000    0.000 __init__.py:18(Node)
        1    0.000    0.000    0.000    0.000 __init__.py:18(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:182(DjangoCassandraModelMetaClass)
        1    0.000    0.000    0.000    0.000 __init__.py:1827(IntegerField)
        1    0.000    0.000    0.000    0.000 __init__.py:184(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:1841(FileMetadata)
       10    0.000    0.000    0.000    0.000 __init__.py:1853(__init__)
       20    0.000    0.000    0.000    0.000 __init__.py:1856(has_metadata)
       10    0.000    0.000    0.001    0.000 __init__.py:1859(get_metadata)
      378    0.000    0.000    0.001    0.000 __init__.py:186(bind_method)
        1    0.000    0.000    0.000    0.000 __init__.py:186(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:187(UnirestResponse)
       10    0.000    0.000    0.001    0.000 __init__.py:1872(get_metadata_lines)
        1    0.000    0.000    0.000    0.000 __init__.py:1876(PathMetadata)
      302    0.000    0.000    0.000    0.000 __init__.py:1896(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1897(BigIntegerField)
        1    0.000    0.000    0.000    0.000 __init__.py:190(_void)
        1    0.000    0.000    0.000    0.000 __init__.py:190(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:1901(EggMetadata)
        1    0.000    0.000    0.000    0.000 __init__.py:1912(IPAddressField)
        3    0.000    0.000    0.000    0.000 __init__.py:1917(register_finder)
       22    0.000    0.000    0.001    0.000 __init__.py:1927(find_distributions)
        1    0.000    0.000    0.000    0.000 __init__.py:193(CreationDateTimeField)
        1    0.000    0.000    0.000    0.000 __init__.py:193(autocomplete)
        1    0.000    0.000    0.000    0.000 __init__.py:194(SetuptoolsVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:194(_empty)
        1    0.000    0.000    0.000    0.000 __init__.py:194(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:1948(GenericIPAddressField)
        1    0.000    0.000    0.000    0.000 __init__.py:195(UTC)
       11    0.000    0.000    0.000    0.000 __init__.py:195(uses_int_query_flags)
        2    0.000    0.000    0.000    0.000 __init__.py:1953(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1955(find_nothing)
      332    0.004    0.000    0.054    0.000 __init__.py:1959(find_on_path)
        1    0.000    0.000    0.000    0.000 __init__.py:198(SetuptoolsLegacyVersion)
